rentree;rentree_universitaire;niveau_geographique;geo_nom;regroupement;rgp_formations_ou_etablissements;secteur;secteur_de_l_etablissement;sexe;sexe_de_l_etudiant;effectif;a_des_effectifs_dut;effectif_dut;a_des_effectifs_ing;effectif_ing;diffusable;donnees_diffusables;secret;donnees_soumises_au_secret_stat;niveau_geo;geo_id;reg_id;aca_id;dep_id;uucr_id
2017;2017-18;Unité urbaine;La Ferté-Macé;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;46;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU61202;R28;;;UU61202
2017;2017-18;Unité urbaine;Berck;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;524;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU62401;R32;;;UU62401
2017;2017-18;Unité urbaine;Saint-Omer;UNIV;Universités;PU;Établissements publics;1;Masculin;259;oui;43;oui;123;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU62501;R32;;;UU62501
2017;2017-18;Unité urbaine;Arras;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;147;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU62502;R32;;;UU62502
2017;2017-18;Unité urbaine;Riom;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;142;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU63401;R84;;;UU63401
2017;2017-18;Unité urbaine;Clermont-Ferrand;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;162;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU63701;R84;;;UU63701
2017;2017-18;Unité urbaine;Saint-Pée-sur-Nivelle;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;81;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU64201;R75;;;UU64201
2017;2017-18;Unité urbaine;Pau;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;1;Masculin;52;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU64601;R75;;;UU64601
2017;2017-18;Unité urbaine;Bagnères-de-Bigorre;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;3;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU65301;R76;;;UU65301
2017;2017-18;Unité urbaine;Limoges;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;379;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU87601;R75;;;UU87601
2017;2017-18;Unité urbaine;Limoges;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;2;Feminin;710;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU87601;R75;;;UU87601
2017;2017-18;Unité urbaine;Neufchâteau;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;49;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU88204;R44;;;UU88204
2017;2017-18;Unité urbaine;Mirecourt;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;47;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU88205;R44;;;UU88205
2017;2017-18;Unité urbaine;Saint-Dié-des-Vosges;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;344;oui;203;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU88403;R44;;;UU88403
2017;2017-18;Unité urbaine;Basse-Terre;UNIV;Universités;PU;Établissements publics;2;Feminin;430;oui;132;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU9A501;R01;;;UU9A501
2017;2017-18;Unité urbaine;Saint-Pierre;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;29;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU9B103;R02;;;UU9B103
2017;2017-18;Unité urbaine;Sainte-Marie;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;2;Feminin;21;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU9B401;R02;;;UU9B401
2017;2017-18;Unité urbaine;Le Robert;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;2;Feminin;27;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU9B602;R02;;;UU9B602
2017;2017-18;Unité urbaine;Bras-Panon;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;33;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU9D301;R04;;;UU9D301
2017;2017-18;Unité urbaine;L'Étang-Salé;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;62;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU9D402;R04;;;UU9D402
2017;2017-18;Unité urbaine;Saint-Benoît;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;302;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU9D404;R04;;;UU9D404
